过账日期,工厂编码,物料编码,物料品牌,物料类型,物料品类,库存量
2018-01-24,2000,1001,5000,3002,4006,2.71
2018-01-24,2000,1003,5000,3002,4005,6.840000000000002
2018-01-24,2000,1014,5000,3002,4008,1.28
2018-01-24,2000,1021,5000,3002,4006,1.04
2018-01-24,2000,1027,5001,3002,4014,2.6299999999999986
2018-01-24,2000,1029,5001,3002,4006,22.20000000000001
2018-01-24,2000,1031,5001,3002,4010,243.23999999999992
2018-01-24,2000,1034,5001,3002,4009,34.07
2018-01-24,2000,1037,5001,3002,4002,61.7
2018-01-24,2000,1038,5001,3002,4006,36.06
2018-01-24,2000,1040,5001,3002,4014,2.8499999999999965
2018-01-24,2000,1042,5001,3002,4006,11.949999999999996
2018-01-24,2000,1044,5001,3002,4008,23.289999999999992
2018-01-24,2000,1045,5001,3002,4008,15.429999999999973
2018-01-24,2000,1048,5001,3002,4014,0.01
2018-01-24,2000,1049,5001,3002,4014,0.04
2018-01-24,2000,1051,5001,3002,4013,42.10000000000001
2018-01-24,2000,1052,5001,3002,4013,44.500000000000036
2018-01-24,2000,1054,5001,3002,4010,460.06999999999977
2018-01-24,2000,1067,5008,3002,4013,3.0900000000000007
2018-01-24,2000,1074,5010,3002,4010,27.32
2018-01-24,2000,1077,5010,3002,4002,20.95
2018-01-24,2000,1091,5010,3002,4010,50.26
2018-01-24,2000,1143,5010,3003,4011,53.05000000000005
2018-01-24,2000,1144,5010,3003,4000,112.64000000000004
2018-01-24,2000,1145,5010,3003,4000,274.53
2018-01-24,2000,1146,5010,3003,4000,60.91999999999997
2018-01-24,2000,1154,5010,3003,4022,14.489999999999982
2018-01-24,2000,1156,5010,3003,4023,46.990000000000016
2018-01-24,2000,1184,5010,3003,4012,15.909999999999984
2018-01-24,2000,1186,5010,3003,4001,200.66999999999973
2018-01-24,2000,1208,5001,3000,4016,0.5
2018-01-24,2000,1210,5001,3000,4016,3.52
2018-01-24,2000,1214,5001,3000,4016,0.19
2018-01-24,2001,1003,5000,3002,4005,6.909999999999998
2018-01-24,2001,1010,5000,3002,4013,0.5900000000000001
2018-01-24,2001,1019,5000,3002,4014,0.01
2018-01-24,2001,1027,5001,3002,4014,0.1
2018-01-24,2001,1029,5001,3002,4006,1.8100000000000005
2018-01-24,2001,1031,5001,3002,4010,4.510000000000002
2018-01-24,2001,1034,5001,3002,4009,5.300000000000002
2018-01-24,2001,1037,5001,3002,4002,2.87
2018-01-24,2001,1040,5001,3002,4014,0.0
2018-01-24,2001,1041,5001,3002,4014,2.01
2018-01-24,2001,1044,5001,3002,4008,1.4200000000000002
2018-01-24,2001,1048,5001,3002,4014,0.01
2018-01-24,2001,1049,5001,3002,4014,0.05
2018-01-24,2001,1051,5001,3002,4013,4.5699999999999985
2018-01-24,2001,1054,5001,3002,4010,37.86
2018-01-24,2001,1096,5001,3001,4003,4.78
2018-01-24,2001,1113,5001,3004,4021,0.6699999999999999
2018-01-24,2001,1114,5001,3004,4020,0.21
2018-01-24,2001,1115,5001,3004,4021,0.34
2018-01-24,2001,1116,5001,3004,4019,0.51
2018-01-24,2001,1117,5001,3004,4020,0.12
2018-01-24,2001,1118,5001,3004,4021,2.26
2018-01-24,2001,1120,5001,3004,4020,0.77
2018-01-24,2001,1157,5001,3003,4012,3.3400000000000003
2018-01-24,2001,1159,5001,3003,4001,85.18000000000002
2018-01-24,2001,1167,5001,3003,4023,27.97
2018-01-24,2001,1169,5001,3003,4023,21.9
2018-01-24,2001,1171,5001,3003,4023,84.54999999999995
2018-01-24,2002,1003,5000,3002,4005,0.6
2018-01-24,2002,1012,5000,3002,4008,0.83
2018-01-24,2002,1027,5001,3002,4014,0.9700000000000004
2018-01-24,2002,1029,5001,3002,4006,2.62
2018-01-24,2002,1031,5001,3002,4010,17.110000000000007
2018-01-24,2002,1034,5001,3002,4009,5.23
2018-01-24,2002,1037,5001,3002,4002,54.98000000000001
2018-01-24,2002,1038,5001,3002,4006,7.689999999999999
2018-01-24,2002,1040,5001,3002,4014,1.3700000000000003
2018-01-24,2002,1042,5001,3002,4006,5.47
2018-01-24,2002,1044,5001,3002,4008,7.91
2018-01-24,2002,1045,5001,3002,4008,6.98
2018-01-24,2002,1047,5001,3002,4009,1.54
2018-01-24,2002,1048,5001,3002,4014,0.42
2018-01-24,2002,1051,5001,3002,4013,4.2
2018-01-24,2002,1052,5001,3002,4013,26.709999999999994
2018-01-24,2002,1053,5001,3002,4006,7.320000000000001
2018-01-24,2002,1054,5001,3002,4010,168.99999999999997
2018-01-24,2002,1061,5007,3002,4005,9.12
2018-01-24,2002,1067,5008,3002,4013,1.8600000000000003
2018-01-24,2002,1070,5009,3002,4002,9.69
2018-01-24,2002,1071,5009,3002,4009,2.57
2018-01-24,2002,1091,5010,3002,4010,36.53999999999999
2018-01-24,2002,1120,5001,3004,4020,0.08
2018-01-24,2002,1157,5001,3003,4012,4.95
2018-01-24,2002,1159,5001,3003,4001,76.99999999999999
2018-01-24,2002,1167,5001,3003,4023,0.42
2018-01-24,2002,1169,5001,3003,4023,28.55999999999999
2018-01-24,2003,1027,5001,3002,4014,0.6900000000000002
2018-01-24,2003,1029,5001,3002,4006,1.2500000000000002
2018-01-24,2003,1031,5001,3002,4010,3.85
2018-01-24,2003,1037,5001,3002,4002,6.96
2018-01-24,2003,1038,5001,3002,4006,2.12
2018-01-24,2003,1042,5001,3002,4006,2.76
2018-01-24,2003,1044,5001,3002,4008,1.84
2018-01-24,2003,1051,5001,3002,4013,2.39
2018-01-24,2003,1053,5001,3002,4006,1.3200000000000005
2018-01-24,2003,1054,5001,3002,4010,39.790000000000006
2018-01-24,2003,1103,5001,3001,4018,0.08
2018-01-24,2003,1104,5001,3001,4018,3.0900000000000003
2018-01-24,2003,1164,5001,3003,4023,0.8599999999999999
2018-01-24,2003,1167,5001,3003,4023,5.169999999999999
2018-01-24,2003,1168,5001,3003,4023,13.79
2018-01-24,2003,1169,5001,3003,4023,84.34000000000002
2018-01-24,2003,1171,5001,3003,4023,6.1400000000000015
2018-01-24,2004,1000,5000,3002,4014,0.38
2018-01-24,2004,1001,5000,3002,4006,0.29000000000000004
2018-01-24,2004,1003,5000,3002,4005,14.05
2018-01-24,2004,1007,5000,3002,4009,6.38
2018-01-24,2004,1010,5000,3002,4013,3.67
2018-01-24,2004,1012,5000,3002,4008,2.16
2018-01-24,2004,1027,5001,3002,4014,2.369999999999999
2018-01-24,2004,1029,5001,3002,4006,16.379999999999995
2018-01-24,2004,1031,5001,3002,4010,28.750000000000004
2018-01-24,2004,1032,5001,3002,4010,2.84
2018-01-24,2004,1034,5001,3002,4009,6.209999999999997
2018-01-24,2004,1037,5001,3002,4002,38.50999999999999
2018-01-24,2004,1038,5001,3002,4006,8.08
2018-01-24,2004,1040,5001,3002,4014,1.6100000000000003
2018-01-24,2004,1041,5001,3002,4014,0.6600000000000003
2018-01-24,2004,1042,5001,3002,4006,6.859999999999998
2018-01-24,2004,1044,5001,3002,4008,15.590000000000002
2018-01-24,2004,1048,5001,3002,4014,1.2900000000000005
2018-01-24,2004,1051,5001,3002,4013,22.45000000000001
2018-01-24,2004,1053,5001,3002,4006,16.259999999999994
2018-01-24,2004,1054,5001,3002,4010,118.59000000000003
2018-01-24,2004,1060,5007,3002,4006,1.6
2018-01-24,2004,1061,5007,3002,4005,13.540000000000004
2018-01-24,2004,1065,5007,3002,4010,1.56
2018-01-24,2004,1097,5001,3001,4003,1.5599999999999998
2018-01-24,2004,1104,5001,3001,4018,11.929999999999998
2018-01-24,2004,1113,5001,3004,4021,0.5
2018-01-24,2004,1114,5001,3004,4020,1.1900000000000002
2018-01-24,2004,1115,5001,3004,4021,0.48
2018-01-24,2004,1116,5001,3004,4019,0.42
2018-01-24,2004,1117,5001,3004,4020,0.32
2018-01-24,2004,1118,5001,3004,4021,0.65
2018-01-24,2004,1119,5001,3004,4020,0.09
2018-01-24,2004,1120,5001,3004,4020,0.76
